time_s,wave_height_m
0.00,2.000000
0.01,2.000000
0.02,2.000000
0.03,2.000000
0.04,2.000000
0.05,2.000000
0.06,2.000000
0.07,2.000000
0.08,2.000000
0.09,2.000000
0.10,2.000000
0.11,2.000000
0.12,2.000000
0.13,2.000000
0.14,2.000000
0.15,2.000000
0.16,2.000000
0.17,2.000000
0.18,2.000000
0.19,1.934644
0.20,1.872819
0.21,1.817746
0.22,1.768393
0.23,1.723926
0.24,1.683661
0.25,1.647037
0.26,1.613588
0.27,1.582923
0.28,1.554712
0.29,1.528674
0.30,1.504571
0.31,1.482196
0.32,1.461371
0.33,1.441943
0.34,1.423777
0.35,1.406754
0.36,1.390771
0.37,1.375735
0.38,1.361567
0.39,1.348193
0.40,1.335548
0.41,1.323576
0.42,1.312224
0.43,1.301446
0.44,1.291199
0.45,1.281445
0.46,1.272150
0.47,1.263282
0.48,1.254813
0.49,1.246716
0.50,1.238968
0.51,1.231546
0.52,1.224431
0.53,1.217604
0.54,1.211047
0.55,1.204746
0.56,1.198685
0.57,1.192852
0.58,1.187233
0.59,1.181818
0.60,1.176594
0.61,1.171553
0.62,1.166685
0.63,1.161981
0.64,1.157433
0.65,1.153033
0.66,1.148775
0.67,1.144651
0.68,1.140656
0.69,1.136784
0.70,1.133028
0.71,1.129384
0.72,1.125847
0.73,1.122412
0.74,1.119075
0.75,1.115831
0.76,1.112678
0.77,1.109611
0.78,1.106626
0.79,1.103721
0.80,1.100892
0.81,1.098137
0.82,1.095452
0.83,1.092835
0.84,1.090283
0.85,1.087795
0.86,1.085366
0.87,1.082997
0.88,1.080683
0.89,1.078424
0.90,1.076218
0.91,1.074062
0.92,1.071955
0.93,1.069896
0.94,1.067882
0.95,1.065912
0.96,1.063985
0.97,1.062100
0.98,1.060255
0.99,1.058448
1.00,1.056679
1.01,1.054947
1.02,1.053250
1.03,1.051587
1.04,1.049958
1.05,1.048361
1.06,1.046795
1.07,1.045259
1.08,1.043753
1.09,1.042276
1.10,1.040827
1.11,1.039404
1.12,1.038008
1.13,1.036638
1.14,1.035293
1.15,1.033972
1.16,1.032674
1.17,1.031399
1.18,1.030147
1.19,1.028917
1.20,1.027708
1.21,1.026519
1.22,1.025351
1.23,1.024202
1.24,1.023072
1.25,1.021962
1.26,1.020869
1.27,1.019794
1.28,1.018736
1.29,1.017696
1.30,1.016672
1.31,1.015664
1.32,1.014672
1.33,1.013695
1.34,1.012733
1.35,1.011786
1.36,1.010853
1.37,1.009935
1.38,1.009030
1.39,1.008138
1.40,1.007260
1.41,1.006394
1.42,1.005541
1.43,1.004701
1.44,1.003872
1.45,1.003055
1.46,1.002250
1.47,1.001456
1.48,1.000672
1.49,0.999900
1.50,0.999138
1.51,0.998387
1.52,0.997646
1.53,0.996915
1.54,0.996193
1.55,0.995481
1.56,0.994779
1.57,0.994086
1.58,0.993401
1.59,0.992726
1.60,0.992059
1.61,0.991401
1.62,0.990751
1.63,0.990109
1.64,0.989475
1.65,0.988849
1.66,0.988231
1.67,0.987621
1.68,0.987018
1.69,0.986422
1.70,0.985833
1.71,0.985252
1.72,0.984677
1.73,0.984110
1.74,0.983549
1.75,0.982994
1.76,0.982446
1.77,0.981904
1.78,0.981369
1.79,0.980839
1.80,0.980316
1.81,0.979799
1.82,0.979287
1.83,0.978781
1.84,0.978281
1.85,0.977786
1.86,0.977297
1.87,0.976813
1.88,0.976334
1.89,0.975861
1.90,0.975393
1.91,0.974929
1.92,0.974471
1.93,0.974017
1.94,0.973568
1.95,0.973124
1.96,0.972685
1.97,0.972250
1.98,0.971820
1.99,0.971394
2.00,0.970972
