time_s,wave_height_m
0,2.00973
0.0100167,2.00972
0.0200122,2.00923
0.0300177,2.00754
0.040011,2.00327
0.0500133,1.99649
0.0600217,1.99283
0.0700105,1.98973
0.0800285,1.97996
0.0900023,1.97292
0.100001,1.96814
0.110014,1.95494
0.120001,1.94915
0.13003,1.93439
0.140017,1.92707
0.150024,1.91243
0.160006,1.89843
0.170003,1.88871
0.180022,1.87205
0.190027,1.85525
0.200006,1.84182
0.210004,1.82784
0.220015,1.81035
0.230011,1.79175
0.24,1.77293
0.250017,1.75403
0.260029,1.735
0.270009,1.71589
0.280023,1.69648
0.290006,1.67679
0.300028,1.65675
0.310024,1.63659
0.320007,1.6161
0.330012,1.59536
0.340024,1.57463
0.350012,1.55388
0.36003,1.53312
0.37003,1.51241
0.380026,1.49174
0.390015,1.47114
0.400011,1.45066
0.41001,1.43032
0.420017,1.40999
0.430022,1.3898
0.44001,1.36982
0.450019,1.34982
0.460029,1.32995
0.47002,1.31003
0.480008,1.29007
0.490025,1.26998
0.500026,1.25041
0.510019,1.23183
0.520031,1.21542
0.53,1.20287
0.540015,1.18684
0.550018,1.16765
0.56002,1.14801
0.570009,1.1288
0.580012,1.10907
0.590015,1.08881
0.600006,1.06845
0.610027,1.0485
0.620014,1.02975
0.630024,1.01154
0.640028,0.993725
0.65,0.976139
0.660028,0.959778
0.670013,0.946726
0.680004,0.929416
0.690001,0.909363
0.700011,0.889323
0.710013,0.871684
0.720004,0.854164
0.730012,0.838944
0.740006,0.827632
0.750007,0.811484
0.760012,0.800058
0.770015,0.790944
0.780008,0.774516
0.790004,0.763584
0.800013,0.751954
0.810004,0.742278
0.82002,0.729772
0.830001,0.718597
0.84002,0.710926
0.85001,0.692097
0.860005,0.676249
0.870002,0.669549
0.880003,0.655884
0.890016,0.653954
0.900021,0.647113
0.91001,0.636965
0.92001,0.629977
0.930006,0.620975
0.940022,0.616121
0.950004,0.611175
0.960017,0.595738
0.970018,0.589873
0.980022,0.573747
0.990015,0.572035
1,0.561524
1.01002,0.554762
1.02002,0.551888
1.03,0.54507
1.04002,0.534146
1.05002,0.531387
1.06,0.518035
1.07002,0.513727
1.08003,0.505895
1.09003,0.497623
1.1,0.493356
1.11001,0.49031
1.12001,0.478953
1.13003,0.472484
1.14002,0.471085
1.15002,0.45657
1.16001,0.451287
1.17003,0.448568
1.18002,0.437958
1.19002,0.436276
1.20001,0.433886
1.21003,0.431079
1.22002,0.41911
1.23001,0.411775
1.24003,0.409391
1.25,0.401289
1.26001,0.396208
1.27001,0.392965
1.28003,0.390432
1.29001,0.381595
1.30001,0.374582
1.31,0.373809
1.32001,0.372256
1.33001,0.360087
1.34002,0.354701
1.35001,0.354389
1.36,0.353017
1.37001,0.351668
1.38001,0.350203
1.39002,0.341748
1.40003,0.333687
1.41001,0.332185
1.42002,0.328875
1.43,0.322576
1.44003,0.315902
1.45,0.313153
1.46001,0.312542
1.47003,0.311293
1.48003,0.308734
1.49,0.306572
1.50002,0.301514
1.51001,0.29607
1.52,0.29406
1.53,0.293537
1.54003,0.292573
1.55,0.290146
1.56001,0.284667
1.57003,0.277096
1.58003,0.274454
1.59003,0.273438
1.60001,0.272564
1.61001,0.270874
1.62001,0.26633
1.63002,0.257833
1.64001,0.254638
1.65003,0.253462
1.66,0.252514
1.67002,0.251117
1.68,0.250023
1.69002,0.249532
1.70001,0.249127
1.71003,0.248076
1.72001,0.24547
1.73001,0.239992
1.74002,0.23628
1.75001,0.23446
1.76002,0.233472
1.77,0.232667
1.78,0.231528
1.79003,0.230339
1.80001,0.229257
1.81002,0.227772
1.82002,0.224948
1.83,0.219634
1.84,0.216214
1.85002,0.214313
1.86001,0.213164
1.87001,0.21247
1.88001,0.212149
1.89001,0.212081
1.90003,0.2121
1.91002,0.212128
1.92002,0.212075
1.93002,0.211743
1.94003,0.211046
1.95,0.210004
1.96,0.208675
1.97001,0.207095
1.98002,0.205221
1.99,0.202984
2.00001,0.200306
